Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-November-2016,630.60,645.00,630.60,638.85,640.145652712410205598,44407,1653,28426948.00,15264,34.37,14.40,8.25
29-November-2016,622.10,631.90,622.10,628.60,627.900070255260780837,29891,1242,18768561.00,10704,35.81,9.80,6.50
28-November-2016,640.00,640.00,617.10,624.85,624.449981043167415912,18463,853,11529220.00,6197,33.56,22.90,-15.15
25-November-2016,617.00,633.05,609.00,627.60,619.774988453283342842,36807,1341,22812058.00,10373,28.18,24.05,10.60
24-November-2016,616.50,616.50,607.05,610.45,612.036423269463145175,23172,1056,14182108.00,9428,40.69,9.45,-6.05
23-November-2016,617.80,618.00,608.00,616.15,613.521622527656721421,17898,922,10980810.00,5365,29.98,10.00,-1.65
22-November-2016,610.00,618.35,596.55,613.05,604.267014010744270172,37043,1461,22383863.00,12596,34.00,21.80,3.05
21-November-2016,616.00,617.50,595.40,603.00,602.551589754154649086,58248,2302,35097425.00,15907,27.31,22.10,-13.00
18-November-2016,615.00,625.25,611.40,615.05,616.467301454431306895,38228,2062,23566312.00,11218,29.34,13.85,0.05
17-November-2016,623.20,632.50,612.50,616.25,619.500349500552436357,44349,3154,27474221.00,15890,35.83,20.00,-6.95
16-November-2016,624.50,629.55,603.25,624.20,621.227858293075684380,67068,2581,41664510.00,19189,28.61,26.30,-0.30
15-November-2016,654.00,655.00,585.00,616.60,610.816008726974551205,136588,5587,83430137.00,40416,29.59,70.00,-37.40
11-November-2016,665.00,675.00,636.00,653.90,642.221821269369560602,254394,4884,163377378.00,169889,66.78,39.00,-11.10
10-November-2016,699.90,702.00,665.55,667.65,679.456334061537651672,75986,3460,51629169.00,22134,29.13,36.45,-32.25
9-November-2016,670.00,692.95,641.00,676.35,668.510304219823356231,139603,5633,93326044.00,29827,21.37,51.95,6.35
8-November-2016,699.80,699.80,688.00,691.60,692.625089422585590189,19570,837,13554673.00,6344,32.42,11.80,-8.20
7-November-2016,703.00,705.75,691.10,694.15,697.647078553699604212,14907,770,10399825.00,4680,31.39,14.65,-8.85
4-November-2016,690.95,703.20,677.85,695.00,691.660411245616019911,70712,2575,48908691.00,27487,38.87,25.35,4.05
3-November-2016,707.25,707.25,685.50,689.25,694.115840349236046149,44898,1894,31164413.00,21595,48.10,21.75,-18.00
2-November-2016,713.00,714.05,702.85,704.90,706.559645903055165713,18526,1002,13089724.00,5517,29.78,11.20,-8.10
1-November-2016,727.00,728.00,707.55,711.10,714.510580170872243194,20132,1176,14384527.00,6353,31.56,20.45,-15.90
