Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-November-2016,191.50,192.85,187.60,192.00,189.838988144537258335,211295,1320,40112029.00,60160,28.47,5.25,0.50
29-November-2016,191.00,191.55,188.50,189.95,190.400189951798179318,322187,3011,61344466.00,177523,55.10,3.05,-1.05
28-November-2016,188.30,194.60,187.90,191.00,192.032063533908917155,242768,2052,46619240.00,66595,27.43,6.70,2.70
25-November-2016,186.10,190.25,185.05,188.35,188.285147974227367041,183140,2182,34482542.00,58044,31.69,5.20,2.25
24-November-2016,186.80,187.20,180.25,185.35,183.855275830157012219,318765,2801,58606627.00,123852,38.85,6.95,-1.45
23-November-2016,184.05,187.35,179.85,181.85,180.877975234919089589,675871,2124,122250178.00,482287,71.36,7.50,-2.20
22-November-2016,186.45,186.60,180.80,184.10,183.396160631480590478,143409,4460,26300660.00,48157,33.58,5.80,-2.35
21-November-2016,192.00,193.60,184.45,185.05,187.878936319104268719,207205,3065,38929455.00,52340,25.26,9.15,-6.95
18-November-2016,194.50,195.15,191.10,191.90,193.426855141739730579,743299,4786,143773988.00,513540,69.09,4.05,-2.60
17-November-2016,188.00,196.40,184.15,192.95,191.562099320218444680,341139,3557,65349303.00,92984,27.26,12.25,4.95
16-November-2016,185.60,190.25,183.35,187.95,187.800956546237540079,298156,2625,55993982.00,82311,27.61,6.90,2.35
15-November-2016,183.15,186.50,182.60,184.40,184.281262993629592365,194807,1430,35899280.00,41872,21.49,3.90,1.25
11-November-2016,188.00,188.35,181.80,183.15,184.885424045334535385,248464,2167,45937372.00,66425,26.73,6.55,-4.85
10-November-2016,183.50,189.90,181.25,188.35,184.263115983316229143,591473,5323,108986658.00,258493,43.70,8.65,4.85
9-November-2016,170.00,181.35,167.40,180.45,175.255671738964260202,379381,3654,66488672.00,126352,33.30,13.95,10.45
8-November-2016,173.85,177.50,173.70,177.00,176.077949685357509889,71033,852,12507345.00,20737,29.19,3.80,3.15
7-November-2016,173.10,174.85,173.10,174.10,173.990254013053448579,68028,513,11836209.00,30686,45.11,1.75,1.00
4-November-2016,175.00,175.40,171.00,173.45,173.594159221419512959,140358,1191,24365329.00,24045,17.13,4.40,-1.55
3-November-2016,175.00,175.35,174.05,174.50,174.167006614382506619,496645,1273,86499173.00,428526,86.28,1.30,-0.50
2-November-2016,175.55,176.45,174.55,175.15,175.316275473071324599,87936,729,15416612.00,25349,28.83,1.90,-0.40
1-November-2016,175.10,179.20,174.10,176.95,177.075166142007694998,114360,986,20250316.00,27726,24.24,5.10,1.85
