Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-November-2016,51.55,51.80,50.75,51.20,51.316052999005220935,453367,1975,23265005.00,74929,16.53,1.05,-0.35
29-November-2016,51.40,51.80,50.75,50.85,51.137300481771642016,450836,1567,23054536.00,96586,21.42,1.05,-0.55
28-November-2016,50.50,52.00,50.00,51.45,51.154982697983159998,636342,2544,32552064.00,136468,21.45,2.00,0.95
25-November-2016,48.55,50.50,48.40,50.30,49.788552589872949628,605744,2727,30159117.00,158091,26.10,2.10,1.75
24-November-2016,48.00,49.45,47.90,48.90,48.752752421139174696,2067725,4660,100807285.00,837401,40.50,1.55,0.90
23-November-2016,48.25,49.10,47.85,48.75,48.776006012618840177,1253364,3103,61134090.00,588338,46.94,1.25,0.50
22-November-2016,48.05,48.20,47.15,47.95,47.605980372823552611,344828,1628,16415875.00,89055,25.83,1.05,-0.10
21-November-2016,49.25,49.30,47.30,47.60,47.955684126722670619,1165632,2521,55898680.00,584424,50.14,2.00,-1.65
18-November-2016,50.00,50.25,48.90,49.25,49.283788670809087023,1034178,1932,50968210.00,562403,54.38,1.35,-0.75
17-November-2016,50.25,50.85,49.85,49.95,50.318545468088424590,429609,1477,21617300.00,105340,24.52,1.00,-0.30
16-November-2016,50.40,50.90,49.65,50.25,50.323765926380936362,820494,2110,41290348.00,294014,35.83,1.25,-0.15
15-November-2016,50.70,51.25,49.05,50.05,50.001164129040744516,1064315,3345,53216989.00,313796,29.48,2.20,-0.65
11-November-2016,51.55,52.60,50.75,51.35,51.850523266832159209,1282233,3230,66484452.00,353700,27.58,1.85,-0.20
10-November-2016,51.20,53.60,51.00,52.75,52.370506355234244051,1381145,4048,72331263.00,434853,31.48,2.60,1.55
9-November-2016,48.00,50.20,44.75,49.70,47.394639839622561933,2845288,9162,134851400.00,1047913,36.83,5.45,1.70
8-November-2016,51.00,51.50,50.70,51.30,51.143581155598991472,589374,2485,30142697.00,206368,35.01,0.80,0.30
7-November-2016,50.30,51.35,50.30,51.00,51.046523733383130448,428405,4385,21868586.00,139612,32.59,1.05,0.70
4-November-2016,52.00,52.00,49.50,50.15,50.378450971769218553,1964664,4278,98976729.00,1020316,51.93,2.50,-1.85
3-November-2016,51.30,53.25,50.90,51.10,52.069128280526837000,1218821,4423,63462947.00,304576,24.99,2.35,-0.20
2-November-2016,51.25,52.25,50.65,51.40,51.682726550749359679,1958005,4396,101195037.00,769842,39.32,1.60,0.15
1-November-2016,52.00,53.20,51.35,52.20,52.474503744299152701,1267794,4390,66526861.00,321420,25.35,1.85,0.20
