Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-November-2016,254.40,259.90,252.75,258.40,256.479530529551488053,1653267,11570,424029144.00,491255,29.71,7.15,4.00
29-November-2016,254.60,256.50,252.10,252.95,254.615088030946000544,1185549,10507,301858663.00,330008,27.84,4.40,-1.65
28-November-2016,253.70,257.70,248.20,253.60,254.558737491699297016,2096208,20610,533608062.00,505439,24.11,9.50,-0.10
25-November-2016,263.80,264.65,258.60,260.95,261.246462504473690234,1791027,13110,467899468.00,407888,22.77,6.05,-2.85
24-November-2016,258.40,262.90,254.65,261.70,260.364823347078090492,1900846,15643,494913433.00,380318,20.01,8.25,3.30
23-November-2016,260.80,260.80,254.90,258.75,257.927189493943574262,1559253,11409,402173744.00,239375,15.35,5.90,-2.05
22-November-2016,261.50,262.40,251.45,257.40,256.457214042018315676,2450360,21976,628412499.00,345863,14.11,10.95,-4.10
21-November-2016,276.30,277.80,256.25,257.75,264.545423342697580226,2569703,21241,679803168.00,608207,23.67,21.55,-18.55
18-November-2016,278.40,279.95,274.75,275.70,277.017242220245334373,1886242,15938,522521557.00,522323,27.69,5.20,-2.70
17-November-2016,277.25,282.40,276.00,277.65,279.274896748293725301,3027795,21875,845587136.00,1004903,33.19,6.40,0.40
16-November-2016,283.40,285.00,276.10,277.15,278.781350077268133630,2460911,20783,686056091.00,691839,28.11,8.90,-6.25
15-November-2016,275.95,283.35,271.00,278.10,277.398727055021668742,5272341,30962,1462540682.00,2175110,41.26,12.35,2.15
11-November-2016,278.95,288.50,270.70,272.90,278.112596516323469202,5886310,47654,1637056958.00,804539,13.67,17.80,-6.05
10-November-2016,267.00,283.90,265.30,281.60,278.212675842252148333,5967067,52446,1660113677.00,1504529,25.21,18.60,14.60
9-November-2016,239.50,261.00,231.00,259.75,251.566307049205346740,4029745,32037,1013748068.00,631466,15.67,30.00,20.25
8-November-2016,254.00,254.00,248.90,252.60,251.336644671677637783,758203,7188,190564198.00,209702,27.66,5.10,-1.40
7-November-2016,248.00,254.00,245.75,252.70,250.531144802179011662,1120508,10457,280722152.00,332690,29.69,8.25,4.70
4-November-2016,246.20,248.50,240.55,242.85,243.338377086303782605,1192300,10802,290132347.00,256499,21.51,7.95,-3.35
3-November-2016,250.90,252.80,245.00,245.65,248.769832693032307686,1287155,12070,320205334.00,418710,32.53,7.80,-5.25
2-November-2016,254.40,255.50,247.00,251.30,252.129961453493085015,1073249,9407,270598229.00,291571,27.17,8.50,-3.10
1-November-2016,257.50,260.10,256.85,258.40,258.656377830348372725,2395509,10980,619613681.00,1037003,43.29,3.25,0.90
