Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-November-2016,15693.50,15777.70,15447.55,15568.70,15612.561032863849765258,426,303,6650951.00,185,43.43,330.15,-124.80
29-November-2016,15600.00,15964.45,15471.00,15549.50,15731.781859931113662456,871,582,13702382.00,223,25.60,493.45,-50.50
28-November-2016,15259.00,15544.25,15200.00,15400.55,15439.252225519287833827,674,507,10406056.00,218,32.34,344.25,141.55
25-November-2016,14705.00,15485.00,14705.00,15390.65,15278.100719424460431654,834,514,12741936.00,256,30.70,780.00,685.65
24-November-2016,15099.00,15210.00,14500.05,14916.35,14908.125353440150801131,1061,672,15817521.00,247,23.28,709.95,-182.65
23-November-2016,14900.00,15199.90,14835.85,14945.75,14997.260416666666666666,576,397,8638422.00,204,35.42,364.05,45.75
22-November-2016,14172.00,15052.90,14172.00,14874.40,14614.446483180428134556,654,471,9557848.00,140,21.41,880.90,702.40
21-November-2016,14500.00,14603.00,13954.50,14353.25,14329.771929824561403508,1425,882,20419925.00,430,30.18,648.50,-146.75
18-November-2016,13301.00,14697.95,12555.00,14053.35,13569.478287461773700305,1635,978,22186097.00,268,16.39,2142.95,752.35
17-November-2016,13664.20,13886.60,13178.00,13505.35,13469.149737302977232924,1142,881,15381769.00,361,31.61,708.60,-158.85
16-November-2016,14695.00,14695.00,13428.60,13903.80,14023.954116059379217273,741,518,10391750.00,245,33.06,1266.40,-791.20
15-November-2016,15400.00,15400.00,13650.00,14205.90,14368.558398950131233595,1524,921,21897683.00,671,44.03,1750.00,-1194.10
11-November-2016,15657.95,16380.00,14330.00,15123.60,15192.548984995586937334,1133,602,17213158.00,289,25.51,2050.00,-534.35
10-November-2016,16634.75,16862.80,15528.00,15795.05,16197.094032549728752260,553,395,8956993.00,265,47.92,1334.80,-839.70
9-November-2016,15675.00,16730.00,15675.00,16366.45,16371.352697095435684647,482,248,7890992.00,287,59.54,1055.00,691.45
8-November-2016,16500.00,17100.00,16500.00,17003.85,16932.246203904555314533,922,472,15611531.00,262,28.42,600.00,503.85
7-November-2016,17199.80,17250.00,15926.70,16348.15,16629.813280079880179730,4006,1644,66619032.00,424,10.58,1323.30,-851.65
4-November-2016,16100.00,16972.65,15919.00,16798.90,16606.892730496453900709,1128,768,18732575.00,496,43.97,1053.65,698.90
3-November-2016,16550.00,16550.00,16011.00,16114.30,16286.138888888888888888,252,141,4104107.00,145,57.54,539.00,-435.70
2-November-2016,16650.00,16800.00,16348.90,16485.80,16584.939759036144578313,332,173,5506200.00,209,62.95,451.10,-164.20
1-November-2016,16853.65,17280.00,16530.00,16717.70,16993.615384615384615384,208,132,3534672.00,63,30.29,750.00,-135.95
