Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-November-2016,1095.20,1098.25,1081.50,1087.60,1088.652289156626506024,8300,601,9035814.00,2051,24.71,16.75,-7.60
29-November-2016,1081.90,1098.50,1080.00,1086.15,1088.684296955183031132,14615,912,15911121.00,2304,15.76,18.50,4.25
28-November-2016,1056.30,1084.50,1050.10,1075.25,1067.742041288828863592,15549,1174,16602321.00,3186,20.49,34.40,18.95
25-November-2016,1048.75,1069.00,1047.65,1053.70,1057.163114212958596623,21206,1366,22418201.00,5082,23.96,21.35,4.95
24-November-2016,1059.40,1059.40,1026.00,1046.70,1040.237710000295255248,33869,1920,35231811.00,10817,31.94,33.40,-12.70
23-November-2016,1080.55,1093.50,1047.05,1055.10,1067.568331544621481053,60565,4712,64657276.00,6157,10.17,46.45,-25.45
22-November-2016,1092.00,1099.70,1056.00,1075.70,1073.583634417235380703,14946,885,16045781.00,3580,23.95,43.70,-16.30
21-November-2016,1110.00,1119.50,1074.40,1082.50,1094.338345864661654135,6916,682,7568444.00,2149,31.07,45.10,-27.50
18-November-2016,1129.35,1133.00,1103.50,1118.55,1114.557717327025428740,16910,1111,18847171.00,3108,18.38,29.50,-10.80
17-November-2016,1117.95,1149.95,1065.00,1113.70,1099.000845487212005918,33117,2095,36395611.00,5979,18.05,84.95,-4.25
16-November-2016,1121.00,1138.20,1086.75,1117.95,1120.221869700782232919,18281,1252,20478776.00,4205,23.00,51.45,-3.05
15-November-2016,1146.90,1146.90,1053.00,1098.95,1093.245325933676022380,43966,2158,48065624.00,20247,46.05,93.90,-47.95
11-November-2016,1092.65,1178.00,1072.00,1127.80,1108.838105787870396012,18055,992,20020072.00,8158,45.18,106.00,35.15
10-November-2016,1109.45,1119.80,1086.35,1092.65,1105.500660017600469345,13636,832,15074607.00,6167,45.23,33.45,-16.80
9-November-2016,1100.00,1100.00,1011.00,1084.45,1063.419144757244753798,29021,2410,30861487.00,7310,25.19,89.00,-15.55
8-November-2016,1116.45,1127.00,1101.20,1123.25,1111.470492470492470492,12285,931,13654415.00,1123,9.14,25.80,6.80
7-November-2016,1120.50,1124.80,1104.00,1107.20,1112.360012554927809165,6372,553,7087958.00,1669,26.19,20.80,-13.30
4-November-2016,1130.00,1132.00,1107.60,1112.55,1116.597695128339444735,13363,874,14921095.00,3785,28.32,24.40,-17.45
3-November-2016,1160.00,1165.00,1126.00,1134.20,1151.012093987560469937,11576,859,13324116.00,4760,41.12,39.00,-25.80
2-November-2016,1156.00,1173.95,1152.00,1156.85,1160.859410646387832699,10520,957,12212241.00,2904,27.60,21.95,0.85
1-November-2016,1187.00,1191.00,1159.05,1164.75,1173.431711979609175870,9416,876,11049033.00,3419,36.31,31.95,-22.25
