Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-November-2016,912.35,917.00,900.00,903.90,907.924931305062179541,35301,1463,32050658.00,7736,21.91,17.00,-8.45
29-November-2016,932.80,939.60,902.50,908.10,915.528232601869755725,56371,2709,51609242.00,9944,17.64,37.10,-24.70
28-November-2016,914.00,937.40,905.65,926.95,926.289676988618299739,62908,2365,58271031.00,10048,15.97,31.75,12.95
25-November-2016,875.10,933.85,875.10,912.30,911.004744766435447514,80299,3551,73152770.00,9109,11.34,58.75,37.20
24-November-2016,850.00,884.40,845.00,870.55,870.579618099371819228,72113,2877,62780108.00,8438,11.70,39.40,20.55
23-November-2016,850.00,858.10,817.75,850.30,845.733342126667985666,45489,2227,38471564.00,7652,16.82,40.35,0.30
22-November-2016,840.00,845.00,805.50,826.05,821.450318175792125149,30172,1577,24784799.00,5734,19.00,39.50,-13.95
21-November-2016,838.00,839.45,795.00,827.65,816.162943210182787863,64501,3148,52643326.00,10947,16.97,44.45,-10.35
18-November-2016,850.95,855.35,830.70,833.15,841.648826453639353993,40433,2873,34030387.00,10026,24.80,24.65,-17.80
17-November-2016,859.40,881.45,838.15,845.00,854.537415202643938076,57490,3772,49127356.00,12827,22.31,43.30,-14.40
16-November-2016,852.70,886.20,842.10,854.55,866.594376841509496778,60073,3049,52058924.00,13030,21.69,44.10,1.85
15-November-2016,890.00,894.00,805.05,837.15,844.571866819371727748,73344,3795,61944279.00,20219,27.57,88.95,-52.85
11-November-2016,958.00,958.00,860.80,883.10,902.108999909598205113,121679,5467,109767721.00,38138,31.34,97.20,-74.90
10-November-2016,1006.75,1036.00,959.50,969.60,992.646846500260245762,88378,4455,87728143.00,27055,30.61,76.50,-37.15
9-November-2016,990.00,1000.00,844.10,985.75,950.698089628375352410,234457,11452,222897822.00,127234,54.27,155.90,-4.25
8-November-2016,1040.00,1065.00,1033.50,1054.85,1055.544995276625456935,24347,1277,25699354.00,8175,33.58,31.50,14.85
7-November-2016,1050.00,1061.00,1016.00,1033.20,1047.065901127200574154,23687,1357,24801850.00,8805,37.17,45.00,-16.80
4-November-2016,1049.00,1054.55,1016.00,1033.05,1031.116082638968154320,35044,1950,36134432.00,10573,30.17,38.55,-15.95
3-November-2016,1085.00,1085.00,1042.00,1048.15,1060.284877879785206998,28865,1567,30605123.00,9372,32.47,43.00,-36.85
2-November-2016,1049.90,1068.00,1032.30,1063.90,1053.039168577772924174,27471,2403,28928039.00,7895,28.74,35.70,14.00
1-November-2016,1085.00,1098.00,1047.95,1053.45,1071.565572990965287684,21030,1449,22535024.00,7612,36.20,50.05,-31.55
