Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-November-2016,709.80,718.75,707.00,710.30,713.455380891031501953,192496,5108,137337307.00,44268,23.00,11.75,0.50
29-November-2016,719.95,721.95,703.40,706.30,709.253857735295063170,373276,7205,264747443.00,142101,38.07,18.55,-13.65
28-November-2016,714.00,719.90,710.25,713.80,714.457200627897523569,765093,4187,546626203.00,625677,81.78,9.65,-0.20
25-November-2016,693.60,715.00,685.45,712.15,703.237891059937620779,451753,10937,317689827.00,128285,28.40,29.55,18.55
24-November-2016,702.00,702.00,681.00,683.60,691.166008357844267940,628631,5635,434488379.00,459011,73.02,21.00,-18.40
23-November-2016,696.00,704.95,690.25,701.05,699.231772555766126683,291799,6229,204035132.00,77190,26.45,14.70,5.05
22-November-2016,697.00,698.95,685.50,689.75,691.017585346369465476,282906,5137,195493021.00,64094,22.66,13.45,-7.25
21-November-2016,693.00,696.75,676.70,690.75,686.480996958565390844,379755,9360,260694591.00,126373,33.28,20.05,-2.25
18-November-2016,671.00,691.60,662.25,688.25,683.383226043241207122,414142,10139,283017696.00,99907,24.12,29.35,17.25
17-November-2016,670.00,681.25,660.10,670.70,671.286617459991011783,393849,8371,264385563.00,102155,25.94,21.15,0.70
16-November-2016,690.00,694.95,661.10,667.95,677.204705740098678071,380429,7818,257628309.00,94231,24.77,33.85,-22.05
15-November-2016,696.00,705.00,675.10,682.50,687.573629420201340900,582892,11325,400781168.00,168009,28.82,29.90,-13.50
11-November-2016,691.00,708.00,680.20,688.95,696.977940724059854302,1300224,26473,906227446.00,314558,24.19,27.80,-2.05
10-November-2016,681.00,693.70,664.30,666.95,677.636636675255683013,855356,16656,579620563.00,295432,34.54,29.40,-14.05
9-November-2016,600.00,668.80,572.40,661.10,631.103721944511658925,1355528,36753,855478766.00,293509,21.65,96.40,61.10
8-November-2016,658.15,663.00,632.90,635.25,640.714238440736849690,1054652,19902,675730553.00,520158,49.32,30.10,-22.90
7-November-2016,678.00,678.00,654.95,657.25,661.615928603884588668,882513,14318,583884658.00,361620,40.98,23.05,-20.75
4-November-2016,680.00,680.00,649.30,652.75,662.773478479257491298,2036663,44095,1349846221.00,654730,32.15,30.70,-27.25
3-November-2016,718.00,718.00,702.00,705.00,708.888632932765487350,318631,10033,225873894.00,121005,37.98,16.00,-13.00
2-November-2016,731.05,732.00,713.60,714.70,720.607715723884480590,434282,13940,312946960.00,262775,60.51,18.40,-16.35
1-November-2016,748.25,750.00,732.00,733.85,738.722100426924569666,190666,5244,140849188.00,88866,46.61,18.00,-14.40
