Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-November-2016,473.90,476.00,462.90,470.90,470.355345535749890337,50154,1508,23590202.00,6232,12.43,13.10,-3.00
29-November-2016,462.60,473.00,460.80,465.20,466.721358958010747791,54895,1530,25620669.00,17605,32.07,12.20,2.60
28-November-2016,471.90,471.90,456.40,461.00,462.589260873597329129,53915,1311,24940500.00,14287,26.50,15.50,-10.90
25-November-2016,450.00,463.25,447.40,459.60,458.088549469159121995,122824,2694,56264268.00,33259,27.08,15.85,9.60
24-November-2016,447.00,453.00,437.40,447.05,443.743043706523165769,91428,2979,40570539.00,9540,10.43,15.60,0.05
23-November-2016,450.55,451.35,440.50,447.15,445.521263163935837470,69698,2220,31051941.00,4994,7.17,10.85,-3.40
22-November-2016,442.00,456.30,440.40,451.85,450.204847579852132425,54914,1793,24722549.00,8434,15.36,15.90,9.85
21-November-2016,462.15,462.15,436.10,438.60,444.307759305274483182,117111,2763,52033326.00,18987,16.21,26.05,-23.55
18-November-2016,491.75,491.75,457.10,459.00,463.285744773730416646,103085,2935,47757811.00,18317,17.77,34.65,-32.75
17-November-2016,490.20,497.50,466.00,478.50,484.396017407358565211,60664,1765,29385400.00,6999,11.54,31.50,-11.70
16-November-2016,490.00,498.40,482.90,490.85,490.495120710947526454,82594,2075,40511954.00,17130,20.74,15.50,0.85
15-November-2016,504.50,504.50,478.80,488.85,489.164013014291009431,121405,2543,59386957.00,15474,12.75,25.70,-15.65
11-November-2016,526.05,531.05,496.20,501.10,519.277660536629484473,195703,3175,101624196.00,76050,38.86,34.85,-24.95
10-November-2016,512.55,537.15,512.55,533.10,529.539137340546979699,261911,4338,138692125.00,102103,38.98,24.60,20.55
9-November-2016,474.00,516.00,474.00,505.35,499.025384493310609876,144931,5205,72324248.00,12667,8.74,42.00,31.35
8-November-2016,529.30,536.20,523.10,525.85,530.065019414048711613,56660,1501,30033484.00,5755,10.16,13.10,-3.45
7-November-2016,527.05,533.00,522.40,527.90,527.586045253763634724,44372,1113,23410048.00,8091,18.23,10.60,0.85
4-November-2016,531.00,533.40,508.00,519.35,520.374858550556284360,99859,2680,51964113.00,8641,8.65,25.40,-11.65
3-November-2016,534.90,541.80,524.00,527.65,534.673959834213849903,56217,1730,30057766.00,3983,7.09,17.80,-7.25
2-November-2016,536.60,537.95,524.40,534.10,531.989430763452974945,55917,1583,29747253.00,6878,12.30,13.55,-2.50
1-November-2016,549.10,551.65,541.40,543.05,545.282931837457407710,67207,1438,36646830.00,20790,30.93,10.25,-6.05
