Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-November-2016,460.00,463.90,455.40,459.35,460.010037631729832722,399397,9163,183726629.00,58033,14.53,8.50,-0.65
29-November-2016,456.70,465.90,453.35,459.80,460.983350331463539010,431420,6989,198877437.00,81993,19.01,12.55,3.10
28-November-2016,454.80,459.95,451.00,454.80,456.261174354234988300,323531,4243,147614634.00,58619,18.12,8.95,0.00
25-November-2016,454.90,456.00,443.65,453.25,450.830769903195031190,663499,9949,299125765.00,72585,10.94,12.35,-1.65
24-November-2016,468.00,468.00,450.00,453.05,456.137808331704202440,557557,8768,254322828.00,162530,29.15,18.00,-14.95
23-November-2016,467.00,475.00,462.10,471.40,469.327973041206559680,364408,6510,171026868.00,69420,19.05,12.90,4.40
22-November-2016,463.30,471.15,453.50,464.90,461.761201638104900770,406079,6724,187511527.00,66113,16.28,17.65,1.60
21-November-2016,468.50,472.60,451.55,456.90,459.759105080710597349,430117,7202,197750207.00,130862,30.42,21.05,-11.60
18-November-2016,470.00,473.50,462.10,471.00,468.182434143276471636,426532,6485,199694790.00,83689,19.62,11.40,1.00
17-November-2016,461.00,476.20,459.80,472.60,470.458417080916239613,1197547,9256,563396066.00,643004,53.69,16.40,11.60
16-November-2016,467.00,471.50,450.00,457.90,461.265004180886347905,749841,11720,345875412.00,91290,12.17,21.50,-9.10
15-November-2016,485.70,486.70,451.60,457.25,467.123700602488517347,1176122,17457,549394461.00,334674,28.46,35.10,-28.45
11-November-2016,529.80,530.00,505.25,507.40,514.855958679281714616,517900,8040,266643901.00,154089,29.75,24.75,-22.40
10-November-2016,536.90,549.20,532.00,534.15,540.873947015110574010,648751,10332,350892514.00,112540,17.35,17.20,-2.75
9-November-2016,501.00,543.40,500.00,534.40,527.774336952085191479,926102,16897,488772869.00,94134,10.16,43.40,33.40
8-November-2016,517.00,542.25,516.30,540.20,533.230557727107609843,1194742,17749,637072943.00,211825,17.73,25.95,23.20
7-November-2016,513.00,520.90,505.50,507.30,512.198190418832088257,501442,8182,256837685.00,86145,17.18,15.40,-5.70
4-November-2016,510.00,515.95,501.85,512.10,509.290232200721525744,588198,8757,299563496.00,109904,18.68,14.10,2.10
3-November-2016,511.70,521.50,506.00,510.25,513.880798096284092989,628245,9722,322843042.00,86899,13.83,15.50,-1.45
2-November-2016,525.00,526.50,513.00,514.00,517.857414878334532626,769898,8393,398697388.00,183654,23.85,13.50,-11.00
1-November-2016,533.00,538.30,525.20,530.95,529.882356522136149877,657070,9054,348169800.00,153828,23.41,13.10,-2.05
