Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-November-2016,407.00,415.90,404.65,414.95,411.331952374594547896,763962,8955,314241981.00,107386,14.06,11.25,7.95
29-November-2016,414.40,417.35,407.80,409.05,411.849565143728468967,849936,10292,350045772.00,126995,14.94,9.55,-5.35
28-November-2016,407.10,411.10,402.55,407.10,407.510233656952525648,598955,7495,244080292.00,48386,8.08,8.55,0.00
25-November-2016,399.90,412.70,398.10,407.70,408.609252062870373203,980430,11584,400612769.00,143430,14.63,14.60,7.80
24-November-2016,387.35,400.00,385.75,398.25,393.541389225291869054,686181,8229,270040624.00,56615,8.25,14.25,10.90
23-November-2016,381.00,394.00,380.50,392.35,387.922620128769908505,737750,8775,286189913.00,99005,13.42,13.50,11.35
22-November-2016,374.95,379.50,372.85,378.00,376.740626913136907672,486766,6032,183384528.00,73165,15.03,6.65,3.05
21-November-2016,385.10,389.30,366.05,371.55,374.873134196129196332,959439,11011,359667905.00,123776,12.90,23.25,-13.55
18-November-2016,390.80,394.60,381.20,385.10,386.864493993407128266,542404,7577,209836849.00,54561,10.06,13.40,-5.70
17-November-2016,393.00,398.30,387.20,392.95,393.173484495380144216,656514,9374,258123897.00,43625,6.64,11.10,-0.05
16-November-2016,396.00,401.10,380.60,391.75,390.276336205237605634,909385,11812,354911446.00,123488,13.58,20.50,-4.25
15-November-2016,410.10,417.00,391.55,393.55,401.891155871339692472,828414,11646,332932260.00,139631,16.86,25.45,-16.55
11-November-2016,431.30,440.90,424.30,426.85,431.865719290522570113,1090380,13563,470897743.00,158811,14.56,16.60,-4.45
10-November-2016,406.40,439.00,406.40,436.85,432.185078821276137240,1819052,24777,786167132.00,432978,23.80,32.60,30.45
9-November-2016,383.90,403.40,380.00,399.80,394.936465059677830249,949934,16011,375163576.00,131648,13.86,23.40,15.90
8-November-2016,413.55,414.90,405.00,408.60,410.134623251836304243,486439,5372,199505476.00,60643,12.47,9.90,-4.95
7-November-2016,405.15,414.25,405.15,411.50,411.133867732599787959,697980,8861,286963217.00,122568,17.56,9.10,6.35
4-November-2016,402.25,407.40,398.30,403.05,402.677521450290944716,708382,9474,285249508.00,86996,12.28,9.10,0.80
3-November-2016,411.60,419.40,398.60,403.30,408.454413355521278497,1085274,14001,443284955.00,142035,13.09,20.80,-8.30
2-November-2016,406.50,416.00,406.50,413.65,412.006442720227800445,837224,11566,344941682.00,122730,14.66,9.50,7.15
1-November-2016,404.00,423.85,404.00,417.70,415.499252782207465721,1177033,15977,489056332.00,167599,14.24,19.85,13.70
