Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-November-2016,2262.50,2295.00,2244.05,2276.75,2270.919301233849860828,48142,3273,109326597.00,11362,23.60,50.95,14.25
29-November-2016,2280.50,2290.25,2251.35,2258.40,2270.948623075836746222,35405,2257,80402936.00,9440,26.66,38.90,-22.10
28-November-2016,2300.00,2317.70,2254.40,2277.30,2283.738803885664628658,64442,5330,147168696.00,14547,22.57,63.30,-22.70
25-November-2016,2199.95,2310.00,2196.10,2300.85,2272.857965363745654222,153885,8253,349758748.00,56385,36.64,113.90,100.90
24-November-2016,2155.00,2208.00,2140.00,2186.50,2192.571318403822599912,264532,3527,580005276.00,221733,83.82,68.00,31.50
23-November-2016,2141.15,2162.30,2129.60,2156.70,2150.417422611656644634,368854,1974,793190068.00,342808,92.94,32.70,15.55
22-November-2016,2132.00,2174.90,2121.65,2134.30,2148.019878547527574668,40345,3041,86661862.00,10103,25.04,53.25,2.30
21-November-2016,2130.00,2141.00,2107.00,2132.55,2127.313113439033597583,42384,2035,90164039.00,11829,27.91,34.00,2.55
18-November-2016,2146.00,2149.05,2106.50,2123.15,2123.742503259452411994,47554,3122,100992451.00,8506,17.89,42.55,-22.85
17-November-2016,2189.00,2204.70,2135.20,2142.15,2162.551157462273840562,63285,4247,136857050.00,17886,28.26,69.50,-46.85
16-November-2016,2125.00,2209.50,2125.00,2190.25,2192.528608568541464323,509655,4828,1117433168.00,461475,90.55,84.50,65.25
15-November-2016,2115.00,2156.40,2054.70,2122.10,2108.804124221961729597,60569,4358,127728157.00,15038,24.83,101.70,7.10
11-November-2016,2145.00,2146.00,2091.00,2105.05,2112.486868333624759573,85785,6740,181219686.00,23624,27.54,55.00,-39.95
10-November-2016,2200.00,2219.00,2142.00,2158.05,2186.604734274034023473,75830,4781,165810237.00,26230,34.59,77.00,-41.95
9-November-2016,2220.90,2275.00,2142.30,2171.05,2179.454664317580899502,378587,14601,825113203.00,192934,50.96,132.70,-49.85
8-November-2016,2280.00,2307.50,2262.30,2283.70,2283.368798619729394315,66074,4631,150871310.00,17845,27.01,45.20,3.70
7-November-2016,2331.50,2339.00,2263.10,2279.35,2297.912569379278237275,137469,4330,315891743.00,86808,63.15,75.90,-52.15
4-November-2016,2301.00,2336.00,2294.95,2330.10,2316.233429258111441401,63244,2944,146487867.00,34560,54.65,41.05,29.10
3-November-2016,2294.00,2333.55,2284.00,2319.95,2314.040805338153568063,52003,3692,120337064.00,13490,25.94,49.55,25.95
2-November-2016,2340.00,2340.00,2296.15,2304.45,2325.317322285821185998,662834,4391,1541299382.00,620496,93.61,43.85,-35.55
1-November-2016,2394.00,2394.60,2335.05,2347.70,2365.779400031913196106,37602,2970,88958037.00,16386,43.58,59.55,-46.30
