Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-November-2016,487.10,489.85,481.50,485.40,483.771231620056089953,190765,3036,92286619.00,131287,68.82,8.35,-1.70
29-November-2016,490.00,494.30,481.65,484.05,488.787556559179649649,118681,2329,58009796.00,38660,32.57,12.65,-5.95
28-November-2016,487.15,495.20,482.55,488.20,487.992911541221116691,231362,4203,112903016.00,75945,32.83,12.65,1.05
25-November-2016,459.00,490.00,459.00,487.15,479.427224213896718754,365410,8309,175187502.00,126535,34.63,31.00,28.15
24-November-2016,453.80,464.40,450.45,459.55,459.849463622242024941,205359,3752,94434226.00,80923,39.41,13.95,5.75
23-November-2016,454.90,458.60,448.75,451.60,452.999767609997934311,154912,2938,70175100.00,39669,25.61,9.85,-3.30
22-November-2016,449.95,454.85,446.60,452.90,450.615009260913304688,106361,2561,47927863.00,24557,23.09,8.25,2.95
21-November-2016,446.80,452.00,441.50,446.60,447.835957445961070462,251069,3686,112437726.00,95951,38.22,10.50,-0.20
18-November-2016,445.00,449.00,437.75,445.20,443.584520276312549410,154318,2490,68453076.00,48965,31.73,11.25,0.20
17-November-2016,449.00,454.75,439.30,441.15,447.468807652411219637,143641,3542,64274867.00,24828,17.28,15.45,-7.85
16-November-2016,434.10,446.10,433.00,443.25,441.546872149746088348,169941,3738,75036917.00,44118,25.96,13.10,9.15
15-November-2016,438.00,438.00,427.95,430.85,430.045925243910318537,3095400,2883,1331164157.00,3016097,97.44,10.05,-7.15
11-November-2016,431.00,438.50,428.25,429.70,431.212279693711230197,85279,2083,36773352.00,26668,31.27,10.25,-1.30
10-November-2016,444.40,449.00,435.55,442.00,440.772225486739530692,127635,2774,56257963.00,41865,32.80,13.45,-2.40
9-November-2016,434.00,443.00,410.00,434.70,430.746820129697751147,263690,7242,113583629.00,50310,19.08,33.00,0.70
8-November-2016,449.00,454.75,446.00,453.30,451.480084564132655821,240291,4862,108486601.00,108233,45.04,8.75,4.30
7-November-2016,432.00,448.40,430.75,444.70,443.101464546561168594,525760,4962,232965026.00,357720,68.04,17.65,12.70
4-November-2016,427.80,434.00,415.00,429.65,423.646903571215396633,770662,3650,326488570.00,634663,82.35,19.00,1.85
3-November-2016,431.05,432.45,424.25,427.80,429.380934674546948999,255490,3257,109702535.00,192221,75.24,8.20,-3.25
2-November-2016,421.90,433.00,421.05,429.95,429.537426093631487082,109429,2760,47003851.00,36632,33.48,11.95,8.05
1-November-2016,437.00,437.00,429.85,433.50,432.683722309580953957,289992,4457,125474818.00,129763,44.75,7.15,-3.50
