Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-November-2016,314.75,327.70,311.90,322.05,320.888863301778943818,121589,3130,39016556.00,19069,15.68,15.80,7.30
29-November-2016,307.00,315.35,306.00,312.85,312.218697652157728203,112827,3407,35226699.00,40000,35.45,9.35,5.85
28-November-2016,317.45,320.00,304.55,306.65,309.397880891487029594,109480,2643,33872880.00,34392,31.41,15.45,-10.80
25-November-2016,312.00,320.40,306.65,317.25,311.732918552036199095,106080,2574,33068628.00,43952,41.43,13.75,5.25
24-November-2016,314.20,314.20,306.10,307.85,309.559566520500214082,67731,2342,20966779.00,18330,27.06,8.10,-6.35
23-November-2016,309.90,313.70,306.75,312.45,310.106089132055445344,79141,2775,24542106.00,24445,30.89,6.95,2.55
22-November-2016,304.90,311.90,301.00,306.75,305.625563590713793164,169671,5726,51855795.00,55145,32.50,10.90,1.85
21-November-2016,304.50,306.00,296.30,304.10,301.219928363606857619,172538,3543,51971884.00,43805,25.39,9.70,-0.40
18-November-2016,320.00,320.00,298.90,303.05,303.699487932330170048,228876,5528,69509524.00,43534,19.02,21.10,-16.95
17-November-2016,324.70,324.70,309.00,316.10,314.733471866190885787,117421,3373,36956319.00,14941,12.72,15.70,-8.60
16-November-2016,332.30,338.30,313.55,319.15,320.089653597707837692,135767,3645,43457612.00,25573,18.84,24.75,-13.15
15-November-2016,337.00,337.90,302.65,328.00,316.322711135018827326,325325,5201,102907686.00,156926,48.24,35.25,-9.00
11-November-2016,347.00,347.00,324.10,334.40,331.899907791999052541,236422,5324,78468440.00,57293,24.23,22.90,-12.60
10-November-2016,354.50,359.05,347.15,349.00,351.938627037952489376,164258,3833,57808735.00,47687,29.03,11.90,-5.50
9-November-2016,333.55,355.85,316.00,348.35,331.893422905625637580,1004775,14221,333478214.00,561140,55.85,39.85,14.80
8-November-2016,370.00,374.00,364.70,370.60,369.933243425488873904,78599,2309,29076383.00,14136,17.98,9.30,0.60
7-November-2016,380.00,382.90,368.50,370.25,373.667715845911092385,121047,2735,45231356.00,23732,19.61,14.40,-9.75
4-November-2016,376.55,377.40,360.00,368.50,368.362714374268200289,406532,8120,149751231.00,31741,7.81,17.40,-8.05
3-November-2016,378.40,384.00,373.05,376.65,379.866079163833176521,107347,2194,40777484.00,28976,26.99,10.95,-1.75
2-November-2016,370.00,383.90,370.00,377.45,378.374555851886532175,119611,3013,45257759.00,28227,23.60,13.90,7.45
1-November-2016,382.00,382.50,372.00,374.25,376.058263077704418486,49225,1810,18511468.00,15044,30.56,10.50,-7.75
