Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-November-2016,361.95,376.00,360.30,372.05,367.943155136908363260,180157,3867,66287535.00,35800,19.87,15.70,10.10
29-November-2016,353.00,362.30,352.80,358.60,359.267689077658188136,82876,1612,29774669.00,20052,24.20,9.50,5.60
28-November-2016,355.90,355.90,350.65,353.80,353.865408826146072885,59573,1222,21080824.00,12074,20.27,5.25,-2.10
25-November-2016,355.90,358.15,353.25,356.00,355.506727372434989988,78411,2046,27875638.00,12635,16.11,4.90,0.10
24-November-2016,353.80,363.40,348.20,359.20,354.871909913693074449,90491,1909,32112714.00,23219,25.66,15.20,5.40
23-November-2016,350.00,356.30,347.00,354.25,351.964377188855783806,76524,1849,26933722.00,9302,12.16,9.30,4.25
22-November-2016,345.00,352.70,344.60,349.25,347.803310676769976259,61498,1389,21389208.00,11687,19.00,8.10,4.25
21-November-2016,362.35,362.35,342.00,344.65,349.403858629735142301,141812,3585,49549660.00,37404,26.38,20.35,-17.70
18-November-2016,363.00,364.25,356.40,362.35,361.510140559768780415,80962,2102,29268584.00,13773,17.01,7.85,-0.65
17-November-2016,360.00,367.40,345.20,362.10,357.368362265302341800,183534,4277,65589245.00,14130,7.70,22.20,2.10
16-November-2016,364.90,368.50,346.25,359.20,354.828265941540837618,243452,4069,86383651.00,33713,13.85,22.25,-5.70
15-November-2016,361.00,363.00,338.90,347.60,344.903891492440094304,173481,4101,59834272.00,43020,24.80,24.10,-13.40
11-November-2016,374.50,374.50,352.60,360.55,358.968969522000394963,425356,8568,152689605.00,100989,23.74,21.90,-13.95
10-November-2016,386.20,389.75,377.20,379.20,384.392131195229264390,110004,2502,42284672.00,26519,24.11,12.55,-7.00
9-November-2016,370.00,384.00,351.00,379.30,371.628768684149631369,341399,8971,126873690.00,45215,13.24,33.00,9.30
8-November-2016,392.00,394.10,385.60,390.00,389.689915777253935725,84419,2464,32897233.00,18158,21.51,8.50,-2.00
7-November-2016,395.35,399.00,388.85,390.10,393.931298109650730481,114582,2165,45137436.00,15901,13.88,10.15,-5.25
4-November-2016,393.25,397.75,387.25,392.45,392.164356373010287593,126463,2374,49594281.00,33755,26.69,10.50,-0.80
3-November-2016,405.00,405.50,390.80,392.25,396.620479094769894153,276438,7089,109640972.00,75311,27.24,14.70,-12.75
2-November-2016,400.00,408.40,397.40,400.55,401.816817602943257393,141340,2867,56792789.00,19625,13.88,11.00,0.55
1-November-2016,412.00,412.00,402.80,403.95,405.799588704350609112,146853,4653,59592887.00,33619,22.89,9.20,-8.05
