Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-November-2016,3549.90,3630.55,3549.90,3594.20,3600.757999098693105002,15533,2700,55930574.00,4664,30.03,80.65,44.30
29-November-2016,3503.00,3562.90,3503.00,3537.35,3539.234019791388071676,3739,763,13233196.00,901,24.10,59.90,34.35
28-November-2016,3498.80,3561.90,3475.00,3503.00,3512.817492830807046292,9764,1575,34299150.00,2133,21.85,86.90,4.20
25-November-2016,3482.90,3509.00,3452.00,3497.00,3490.347962076043397517,10231,2272,35709750.00,3170,30.98,57.00,14.10
24-November-2016,3468.70,3504.60,3405.00,3482.35,3472.665900383141762452,7830,1664,27190974.00,2079,26.55,99.60,13.65
23-November-2016,3451.00,3475.60,3384.00,3451.30,3437.974380450312854116,20297,3055,69780566.00,5228,25.76,91.60,0.30
22-November-2016,3365.00,3435.50,3301.15,3424.45,3386.395281967020714746,17041,2493,57707562.00,9940,58.33,134.35,59.45
21-November-2016,3393.10,3410.00,3305.10,3323.00,3344.544958640733288620,22365,1513,74800748.00,17239,77.08,104.90,-70.10
18-November-2016,3297.00,3406.80,3280.00,3393.00,3347.721064626404037115,12286,2712,41130101.00,3336,27.15,126.80,96.00
17-November-2016,3370.00,3405.00,3321.60,3337.55,3365.263428304530593180,12846,3141,43230174.00,2915,22.69,83.40,-32.45
16-November-2016,3411.80,3465.10,3346.00,3370.05,3385.965665665665665665,19980,4928,67651594.00,9197,46.03,119.10,-41.75
15-November-2016,3635.00,3635.00,3345.50,3367.30,3390.501889451098443604,31226,3201,105871812.00,19743,63.23,289.50,-267.70
11-November-2016,3849.90,3849.90,3611.00,3634.70,3658.432538013101748903,16639,2310,60872659.00,5997,36.04,238.90,-215.20
10-November-2016,3782.00,3875.00,3782.00,3841.20,3848.707048053237251369,27199,2028,104680983.00,18995,69.84,93.00,59.20
9-November-2016,3820.00,3858.20,3595.15,3781.85,3725.184919255928045789,39136,5907,145788837.00,11510,29.41,263.05,-38.15
8-November-2016,3913.40,3968.70,3907.50,3958.10,3942.225416997617156473,6295,1354,24816309.00,2527,40.14,61.20,44.70
7-November-2016,3875.00,3943.65,3875.00,3908.70,3910.288829787234042553,20680,879,80864773.00,16924,81.84,68.65,33.70
4-November-2016,3906.00,3931.00,3825.00,3851.85,3859.661131984001939158,8251,1588,31846064.00,2674,32.41,106.00,-54.15
3-November-2016,3896.00,3931.45,3882.60,3907.30,3908.614640198511166253,8060,1251,31503434.00,3753,46.56,48.85,11.30
2-November-2016,3970.00,3970.00,3879.45,3894.95,3908.825836642960499984,32481,3215,126962572.00,19511,60.07,90.55,-75.05
1-November-2016,3967.00,3992.30,3954.00,3975.30,3975.680676270984641028,8399,1677,33391742.00,5275,62.81,38.30,8.30
