Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-November-2016,1929.90,1957.90,1915.85,1922.75,1937.729890041277879912,28829,3133,55862815.00,5372,18.63,42.05,-7.15
29-November-2016,1916.00,1970.00,1880.50,1893.40,1914.322931617204500208,21599,1734,41347461.00,4696,21.74,89.50,-22.60
28-November-2016,1866.80,1945.00,1866.80,1910.30,1920.352033826638477801,59125,3391,113540814.00,24217,40.96,78.20,43.50
25-November-2016,1866.70,1882.00,1854.30,1870.90,1868.714813649944959899,12718,1236,23766315.00,2552,20.07,27.70,4.20
24-November-2016,1882.00,1898.00,1836.50,1850.85,1871.345809601301871440,14748,1386,27598608.00,3079,20.88,61.50,-31.15
23-November-2016,1899.00,1925.00,1862.35,1896.85,1892.647166580383099040,25111,3127,47526263.00,5286,21.05,62.65,-2.15
22-November-2016,1800.00,1899.00,1775.05,1882.05,1825.808917874396135265,103500,3690,188971223.00,65003,62.80,123.95,82.05
21-November-2016,1876.00,1876.00,1778.00,1785.65,1805.164801488494267655,36547,3183,65973358.00,11212,30.68,98.00,-90.35
18-November-2016,1899.85,1908.00,1862.60,1875.30,1889.693135337008714209,11246,1462,21251489.00,2692,23.94,45.40,-24.55
17-November-2016,1866.00,1914.00,1859.80,1886.30,1889.613117928238639801,16527,1874,31229636.00,5643,34.14,54.20,20.30
16-November-2016,1905.00,1919.80,1850.10,1866.45,1888.193363425643528120,24591,2079,46432563.00,6108,24.84,69.70,-38.55
15-November-2016,1980.65,1990.95,1875.70,1893.90,1907.026320161386021122,42135,3455,80352554.00,11845,28.11,115.25,-86.75
11-November-2016,1990.00,2031.05,1970.00,1980.65,1998.348255946748458250,30647,2102,61243379.00,6708,21.89,61.05,-9.35
10-November-2016,2043.70,2069.90,2007.90,2024.85,2040.546340312194464111,29661,1886,60524645.00,6815,22.98,62.00,-18.85
9-November-2016,1930.00,2044.95,1825.00,2017.70,1924.896415798866185524,139529,9561,268578872.00,34790,24.93,219.95,87.70
8-November-2016,2019.00,2087.95,1975.75,2039.30,2032.725658911490748089,71823,5448,145996455.00,6163,8.58,112.20,20.30
7-November-2016,2051.00,2076.75,2001.10,2015.50,2030.013063191604045784,31539,2995,64024582.00,9771,30.98,75.65,-35.50
4-November-2016,2125.00,2140.00,2040.05,2049.70,2073.611545063549923817,51849,4749,107514685.00,13516,26.07,99.95,-75.30
3-November-2016,2198.00,2225.80,2121.00,2128.85,2168.392862102485765865,36005,3144,78072985.00,10664,29.62,104.80,-69.15
2-November-2016,2230.00,2247.00,2187.60,2198.05,2216.428975771756358970,26498,2407,58730935.00,7699,29.06,59.40,-31.95
1-November-2016,2268.55,2276.00,2215.00,2221.70,2238.698354047699025864,20839,1857,46652235.00,8901,42.71,61.00,-46.85
