Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-November-2016,627.00,635.45,624.80,633.45,631.912658443941786522,46862,1620,29612691.00,18865,40.26,10.65,6.45
29-November-2016,623.50,638.75,621.90,625.05,629.328203341270302185,51657,2656,32509207.00,11560,22.38,16.85,1.55
28-November-2016,627.00,634.00,620.15,627.90,627.712943836837642147,45991,2313,28869146.00,9114,19.82,13.85,0.90
25-November-2016,610.30,630.00,602.00,627.95,616.378628169874732661,91644,3768,56487403.00,17066,18.62,28.00,17.65
24-November-2016,614.00,614.00,598.10,609.25,606.517121556734900176,63312,2923,38399812.00,10472,16.54,15.90,-4.75
23-November-2016,620.00,620.00,608.00,610.85,613.665427509293680297,78817,4346,48367268.00,19780,25.10,12.00,-9.15
22-November-2016,612.20,622.85,584.00,606.65,609.818851396386168708,682655,4717,416295888.00,571776,83.76,38.85,-5.55
21-November-2016,626.00,627.95,600.00,608.00,609.009499396863691194,245384,2968,149441187.00,183689,74.86,27.95,-18.00
18-November-2016,619.75,627.90,617.55,622.90,622.813053483020709852,28682,1428,17863524.00,5660,19.73,10.35,3.15
17-November-2016,614.50,626.40,610.00,616.10,616.560839889718243561,59484,3342,36675505.00,11430,19.22,16.40,1.60
16-November-2016,610.00,635.50,594.70,620.25,622.755079837113637070,96509,4108,60101470.00,10157,10.52,40.80,10.25
15-November-2016,648.70,648.70,597.15,601.70,619.501481463342964885,81676,3844,50598403.00,21488,26.31,51.55,-47.00
11-November-2016,690.00,692.45,645.00,648.70,661.399679401549559177,82346,3960,54463618.00,31319,38.03,47.45,-41.30
10-November-2016,680.00,702.90,668.45,694.70,689.244574345681298189,75613,3376,52115850.00,21956,29.04,34.45,14.70
9-November-2016,626.00,668.70,625.05,661.60,657.504605800459630396,105302,6585,69236550.00,24593,23.35,43.65,35.60
8-November-2016,667.90,685.95,656.10,683.15,670.705584154686420993,63716,3147,42734677.00,11839,18.58,29.85,15.25
7-November-2016,672.05,684.00,665.20,666.95,674.590853105147154155,30852,1581,20812477.00,8638,28.00,18.80,-5.10
4-November-2016,672.70,675.15,658.65,672.35,668.231084279673412941,75202,3544,50252314.00,12726,16.92,16.50,-0.35
3-November-2016,688.00,688.00,661.60,669.05,673.147727428438317872,72979,4044,49125648.00,24628,33.75,26.40,-18.95
2-November-2016,701.90,701.90,676.80,680.00,689.825216418349920499,50943,2509,35141766.00,12171,23.89,25.10,-21.90
1-November-2016,705.00,709.25,699.70,705.75,704.746887410560182314,59677,4444,42057180.00,19483,32.65,9.55,0.75
