Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-November-2016,226.60,230.60,222.65,229.75,226.850421764446189718,1270733,9108,288266317.00,102178,8.04,7.95,3.15
29-November-2016,229.80,232.25,227.30,228.05,229.066668604173389480,997846,7498,228573259.00,122960,12.32,4.95,-1.75
28-November-2016,223.00,229.50,220.15,228.45,225.940016971613233208,1720520,13202,388734318.00,138327,8.04,9.35,5.45
25-November-2016,222.90,228.40,219.70,223.20,224.327204729891592352,1515299,12621,339922789.00,116865,7.71,8.70,0.30
24-November-2016,216.50,223.50,215.15,221.80,220.311302693703879837,1553957,14510,342354291.00,124527,8.01,8.35,5.30
23-November-2016,210.00,217.95,208.60,217.10,214.845955157335162479,1586168,13139,340781779.00,185832,11.72,9.35,7.10
22-November-2016,199.10,207.50,199.10,206.70,204.157910161034898136,1081691,8868,220835774.00,138083,12.77,8.40,7.60
21-November-2016,204.25,207.80,192.35,197.05,198.536941800939333156,1954791,13049,388098227.00,140986,7.21,15.45,-7.20
18-November-2016,215.00,215.00,202.25,204.20,206.370265616283607151,1073767,10213,221593581.00,124315,11.58,12.75,-10.80
17-November-2016,207.15,217.90,205.00,213.75,213.590418299848412690,1331246,12432,284341390.00,150591,11.31,12.90,6.60
16-November-2016,214.10,216.10,205.00,207.15,209.396402856149643798,1101763,7941,230705209.00,114079,10.35,11.10,-6.95
15-November-2016,229.50,229.80,208.00,209.80,216.475926712456721026,1193709,9081,258409262.00,205600,17.22,21.80,-19.70
11-November-2016,224.00,233.45,224.00,229.60,230.054712603161933283,1373084,9645,315884445.00,177020,12.89,9.45,5.60
10-November-2016,222.00,233.65,222.00,228.60,229.734395074266025354,1534147,13152,352446333.00,260348,16.97,11.65,6.60
9-November-2016,199.00,218.75,197.45,217.60,209.121258351630674779,1952014,18326,408207624.00,199041,10.20,21.30,18.60
8-November-2016,216.75,222.20,215.50,219.35,219.175076616800350248,968456,8470,212261418.00,98950,10.22,6.70,2.60
7-November-2016,216.15,219.75,214.00,215.55,216.332082150363187198,678025,6924,146678560.00,71324,10.52,5.75,-0.60
4-November-2016,219.40,222.10,207.55,212.80,212.595214886480706962,2308242,15073,490721204.00,126366,5.47,14.55,-6.60
3-November-2016,217.00,225.80,216.35,217.90,222.007120004790319972,1786937,12931,396712737.00,201146,11.26,9.45,0.90
2-November-2016,215.60,222.35,215.00,218.25,219.323270664540467946,1676858,12718,367773981.00,184881,11.03,7.35,2.65
1-November-2016,205.00,225.00,202.55,219.65,216.865263128222475065,3902280,26234,846268979.00,776692,19.90,22.45,14.65
