Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-November-2016,466.00,470.35,462.55,465.10,466.965800829410446088,71376,1879,33330151.00,26719,37.43,7.80,-0.90
29-November-2016,461.45,466.40,461.00,464.25,464.422409724540421074,86873,2131,40345768.00,36332,41.82,5.40,2.80
28-November-2016,467.00,467.50,456.35,461.45,461.068684410248357802,76422,2455,35235791.00,20078,26.27,11.15,-5.55
25-November-2016,455.00,467.20,451.45,464.90,462.791475437112630163,144242,3141,66753968.00,62212,43.13,15.75,9.90
24-November-2016,449.95,455.00,446.50,450.95,451.112009218016406693,116294,3389,52461620.00,53887,46.34,8.50,1.00
23-November-2016,455.00,455.00,443.00,448.15,446.092184302594230642,60596,1985,27031402.00,9618,15.87,12.00,-6.85
22-November-2016,443.00,452.40,439.00,449.90,445.492887918314348108,67772,1897,30191944.00,18802,27.74,13.40,6.90
21-November-2016,438.00,443.70,437.95,441.65,441.770828973153979337,52559,1490,23219033.00,14323,27.25,5.75,3.65
18-November-2016,440.00,442.90,433.40,437.10,436.951957874581139301,52225,1611,22819816.00,14359,27.49,9.50,-2.90
17-November-2016,447.90,447.90,434.70,439.70,438.647048110061923842,71378,2326,31309749.00,17221,24.13,13.20,-8.20
16-November-2016,451.50,454.00,440.80,444.10,449.222441092133150479,80210,1693,36032132.00,20130,25.10,13.20,-7.40
15-November-2016,445.00,462.00,439.65,448.05,449.076844990166533310,534908,2008,240214797.00,472046,88.25,22.35,3.05
11-November-2016,442.00,444.50,434.40,441.40,439.780176632852820786,89904,2587,39537997.00,24692,27.46,10.10,-0.60
10-November-2016,450.00,453.55,443.75,444.70,445.829747535465256071,103975,2771,46355148.00,35050,33.71,9.80,-5.30
9-November-2016,437.00,450.00,410.00,447.20,438.003511320076665069,133568,3785,58503253.00,21666,16.22,40.00,10.20
8-November-2016,452.00,455.85,447.25,452.95,451.328538927969691489,105053,2252,47413417.00,48444,46.11,8.60,0.95
7-November-2016,455.00,456.00,448.55,450.95,451.041059008301548126,53484,1600,24123480.00,15059,28.16,7.45,-4.05
4-November-2016,447.95,454.50,444.25,452.45,450.224292691512298147,227270,3203,102322475.00,155516,68.43,10.25,4.50
3-November-2016,457.95,457.95,446.15,448.35,451.114008802322314823,85432,2920,38539572.00,43571,51.00,11.80,-9.60
2-November-2016,460.00,460.70,452.80,457.95,457.114374443750118351,52809,2342,24139753.00,16227,30.73,7.90,-2.05
1-November-2016,464.00,466.50,460.10,460.90,462.833413189302204024,45916,2464,21251459.00,23730,51.68,6.40,-3.10
