Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-November-2016,1149.00,1176.70,1145.60,1171.40,1161.017390954450346048,248520,8626,288536042.00,70836,28.50,31.10,22.40
29-November-2016,1154.00,1163.35,1141.45,1144.20,1153.711847682885822800,181411,6244,209296020.00,44605,24.59,21.90,-9.80
28-November-2016,1141.00,1175.00,1135.00,1148.95,1156.491247872104211383,324264,8546,375008478.00,48612,14.99,40.00,7.95
25-November-2016,1131.00,1172.10,1124.05,1167.50,1153.806937271855602469,237788,7682,274361444.00,40751,17.14,48.05,36.50
24-November-2016,1126.00,1128.90,1109.75,1118.60,1119.493751518728086923,172842,5382,193495539.00,26076,15.09,19.15,-7.40
23-November-2016,1136.00,1145.00,1119.40,1125.70,1128.023466630178223240,146165,4452,164877550.00,29351,20.08,25.60,-10.30
22-November-2016,1124.00,1139.90,1095.50,1131.70,1119.005378178689059671,269608,8614,301692802.00,28121,10.43,44.40,7.70
21-November-2016,1182.00,1189.95,1105.65,1112.50,1136.943356874647366680,256995,9184,292188758.00,56165,21.85,84.30,-69.50
18-November-2016,1180.00,1186.00,1161.00,1179.85,1170.284037323166449282,209307,7717,244948641.00,53054,25.35,25.00,-0.15
17-November-2016,1200.00,1208.60,1166.05,1174.55,1189.303716670412117914,253641,7595,301656184.00,43914,17.31,42.55,-25.45
16-November-2016,1168.00,1198.90,1133.40,1179.40,1172.453927255997800420,367343,9505,430692743.00,47611,12.96,65.50,11.40
15-November-2016,1218.70,1218.70,1150.00,1158.85,1177.862069613827507113,478698,8922,563840217.00,205178,42.86,68.70,-59.85
11-November-2016,1260.00,1285.45,1210.00,1215.50,1241.679165325427078921,885375,12145,1099351691.00,631672,71.35,75.45,-44.50
10-November-2016,1240.00,1313.60,1234.15,1290.70,1291.234784748200064018,418626,12263,540544453.00,83848,20.03,79.45,50.70
9-November-2016,1151.00,1229.95,1122.90,1219.20,1176.354101530952049050,451941,15870,531642649.00,58275,12.89,107.05,68.20
8-November-2016,1210.10,1235.70,1197.00,1223.95,1211.734874533616211866,150359,4791,182195244.00,26865,17.87,38.70,13.85
7-November-2016,1205.00,1231.75,1202.90,1205.95,1218.598071007478491525,144013,4672,175493964.00,15668,10.88,28.85,0.95
4-November-2016,1209.00,1214.95,1174.40,1196.40,1192.058994975953280659,186304,5853,222085359.00,31536,16.93,40.55,-12.60
3-November-2016,1206.10,1247.00,1193.10,1207.35,1215.218630550158058060,172405,5030,209509768.00,23016,13.35,53.90,1.25
2-November-2016,1240.15,1240.15,1201.00,1210.80,1213.684784445224262746,153882,6203,186764242.00,43544,28.30,39.15,-29.35
1-November-2016,1275.00,1275.00,1246.30,1249.55,1256.018395418958490828,115083,3947,144546365.00,25758,22.38,28.70,-25.45
