Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-November-2016,457.00,462.60,450.70,455.75,456.718960388288711445,108579,2363,49590088.00,31226,28.76,11.90,-1.25
29-November-2016,456.00,466.00,453.60,457.30,460.860941440447994476,104287,2406,48061805.00,21640,20.75,12.40,1.30
28-November-2016,440.10,461.90,440.10,456.70,452.984443314692425012,137690,3151,62371428.00,27029,19.63,21.80,16.60
25-November-2016,445.00,451.25,433.05,439.85,443.213480621846797694,155794,4032,69050001.00,27757,17.82,18.20,-5.15
24-November-2016,460.60,460.80,438.00,440.05,445.108577088059531696,149433,4155,66513910.00,49091,32.85,22.80,-20.55
23-November-2016,449.50,462.85,440.00,458.35,450.408269298848420482,96042,2538,43258111.00,20638,21.49,22.85,8.85
22-November-2016,440.00,450.90,438.10,449.50,445.935531674449348600,93798,2514,41827861.00,28415,30.29,12.80,9.50
21-November-2016,450.55,452.35,430.10,434.15,438.333330690683072239,126136,4059,55289613.00,46443,36.82,22.25,-16.40
18-November-2016,460.75,461.00,442.65,446.25,452.107553513857563891,72271,2092,32674265.00,30696,42.47,18.35,-14.50
17-November-2016,475.65,479.45,456.15,459.70,469.404335802610651803,69791,2005,32760198.00,11130,15.95,23.30,-15.95
16-November-2016,457.00,482.15,457.00,475.65,469.359945594841722536,861683,5502,404439486.00,716871,83.19,25.15,18.65
15-November-2016,483.00,483.00,450.00,453.60,458.939376518853380020,76538,2704,35126302.00,24980,32.64,33.00,-29.40
11-November-2016,500.00,504.00,479.00,481.90,489.860698181818181818,68750,4028,33677923.00,25041,36.42,25.00,-18.10
10-November-2016,513.00,521.35,503.00,506.60,512.936078875365600528,84792,3040,43492876.00,31429,37.07,18.35,-6.40
9-November-2016,480.00,515.55,455.00,504.95,498.428761958078803945,121466,5971,60542148.00,23990,19.75,60.55,24.95
8-November-2016,508.00,512.80,500.75,505.20,505.135680244345559388,37979,913,19184548.00,15661,41.24,12.05,-2.80
7-November-2016,509.00,516.20,503.50,506.95,511.522353407202825673,90881,1594,46487663.00,54378,59.83,12.70,-2.05
4-November-2016,504.00,509.10,500.00,505.65,504.996601887564644748,80633,1782,40719391.00,34160,42.36,9.10,1.65
3-November-2016,500.30,506.85,496.65,502.90,502.911364350284457785,57302,1530,28817827.00,13557,23.66,10.20,2.60
2-November-2016,504.80,504.80,499.05,500.60,501.093647663650128525,56798,1809,28461117.00,15793,27.81,5.75,-4.20
1-November-2016,524.85,524.85,507.30,509.60,514.759165804346095677,62815,2004,32334597.00,22642,36.05,17.55,-15.25
