Year,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open,DematFlagExist
2001,339.95,451.80,291.10,369.50,479310929,1834485,184155122005.00,,,160.70,29.55,@
2001,362.50,472.75,204.10,305.15,245315808,1721769,69215660375.00,,,268.65,-57.35,
2002,307.00,344.00,218.05,297.70,452634295,2823669,126996316647.00,94923726,20.97,125.95,-9.30,
2003,300.00,582.00,258.00,573.00,622141506,4217080,240694762052.00,113693239,18.27,324.00,273.00,
2004,571.00,610.45,382.00,533.80,842992253,6532060,432646881094.00,136461603,16.19,228.45,-37.20,
2005,520.05,901.00,498.20,889.65,645474078,4508134,430613485122.00,183636793,28.45,402.80,369.60,
2006,893.45,1350.00,675.10,1270.35,599584979,5892316,561182133384.00,213239061,35.56,674.90,376.90,
2007,1252.55,3235.00,1250.00,2881.05,216790350,4614899,424981930198.00,66606799,30.72,1985.00,1628.50,
2008,2950.00,3252.10,930.00,1230.25,356855636,12431229,666060056815.00,71430165,20.02,2322.10,-1719.75,
2009,1240.05,2490.00,990.00,1089.40,318257831,10835319,539551606993.00,60221850,18.92,1500.00,-150.65,
2010,1094.00,1187.00,840.55,1058.25,232552398,6408077,240706746198.00,89676860,38.56,346.45,-35.75,
2011,1062.00,1090.00,690.00,692.90,190808426,5415653,168201646637.00,55939012,29.32,400.00,-369.10,
2012,697.90,881.00,671.00,839.10,129648927,3267668,100366977066.00,41797869,32.24,210.00,141.20,
2013,844.75,954.80,765.00,894.80,102763808,3617622,87076935574.00,32723474,31.84,189.80,50.05,
2014,896.75,1142.50,794.00,891.15,85101468,4183512,82024884584.00,33860074,39.79,348.50,-5.60,
2015,885.50,1067.00,796.75,1000.90,93351316,3168737,85093112871.00,33015066,35.37,270.25,115.40,
2016,1010.00,1128.90,888.50,1080.10,96321091,2234265,98330913776.00,47142669,48.94,240.40,70.10,
2017,1081.35,1665.00,780.00,921.05,1295487907,2174787,1655557103419.00,1232872956,95.17,885.00,-160.30,
2018,922.00,990.00,872.10,906.75,27619869,429256,25565349143.00,10573196,38.28,117.90,-15.25,
@ Shares traded in Physical form
